"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Capita PLC","0.69","EQUITY","CPI","Mid Value","2003-09-30","12041515","-3422028","Industrials","108512230","665","-5.5|-0.82%","672-655","1033421","1066.6-431.3","United Kingdom","23.31","-25.49","-14.57","2.51","4437.6","GBX","-","29.11","119.82","-","-","-"
"South32 Ltd","0.68","EQUITY","S32","Large Growth","2015-06-30","51608584","-2533749","Basic Materials","106288177","2.9","0.05|1.93%","2.92-2.87","4777470","3.07-1.83","Australia","2.52","56.08","-","-","14871.07","AUD","2","5.37","16.17","-","-","-"
"Kweichow Moutai Co Ltd","0.67","EQUITY","600519","Large Growth","2015-06-30","1519700","-82900","Consumer Defensive","105826278","484.08","0.16|0.03%","486-481.8","1261536","486-287.56","China","18.68","55.26","49.69","19.85","607899.25","RMB","2","46.85","31.71","-","-","-"
"Airbus SE","0.64","EQUITY","AIR","Large Core","2013-09-30","1224195","-181216","Industrials","101027275","72.38","0.11|0.15%","73.09-71.79","2280881","77.25-49.51","Netherlands","-2.49","37.63","20.09","21.09","56042.6","EUR","3","17.33","75.4","-","-","-"
"GN Store Nord A/S","0.64","EQUITY","GN","Mid Growth","2014-03-31","3444072","-209099","Healthcare","100563415","190.1","-2.9|-1.5%","191.7-189.4","296591","208.6-123.5","Denmark","7.04","51.91","10.49","21.66","26332.64","DKK","-","30.72","25.79","-","-","-"
"Telefonica Deutschland Holding AG","0.64","EQUITY","O2D","Large Value","2016-10-31","20093126","2748509","Communication Services","100485596","4.38","-0.1|-2.3%","4.47-4.31","2423538","4.71-3.37","Germany","3.93","24.43","2.54","-","13013.68","EUR","3","13.64","-","-","-","-"
"Ctrip.com International Ltd ADR","0.64","EQUITY","CTRP","-","2015-06-30","1855400","-56800","Consumer Cyclical","99931844","59.71","0.86|1.46%","60.22-57.8","3183279","60.65-39.71","China","18.21","36.36","21.41","54.76","30645.76","USD","3","49.28","653.18","-","-","-"
"Infosys Ltd","0.63","EQUITY","INFY","Large Core","2013-04-30","6884847","359358","Technology","99533949","997.35","26.3|2.71%","1003-962.3","5549214","1095-901","India","10.14","-5.05","8.27","15.33","2280765.75","INR","4","0.15","16.31","-","-","-"
"Koito Manufacturing Co Ltd","0.63","EQUITY","7276","Large Growth","2013-09-30","1899300","53400","Consumer Cyclical","98213818","6470","90|1.41%","6520-6430","369500","6520-4650","Japan","10.96","26.9","34.01","46.61","1025230.5","JPY","-","3.62","18.09","-","-","-"
"LivaNova PLC","0.62","EQUITY","LIVN","Mid Growth","2016-03-31","1600341","-51500","Healthcare","97956873","61.34","-0.22|-0.36%","62.65-61.06","332248","63.21-40.83","United Kingdom","16.39","18.65","1.22","6.57","2955.73","USD","-","36.4","-","-","-","-"
"DP World Ltd","0.62","EQUITY","DPW","Large Core","2009-03-31","4639436","-757883","Industrials","97008960","-","-","-","-","-","-","13.21","38.43","7.34","19.16","19206.2","USD","-","34.32","19.75","-","-","-"
"Lloyds Banking Group PLC","0.62","EQUITY","LLOY","Large Value","2016-04-30","112244105","4200963","Financial Services","96729302","66.5","-1|-1.48%","67.41-66.36","213330895","73.58-50.68","United Kingdom","-3.9","32.48","-0.8","19.32","47517.35","GBX","4","9.9","31.67","-","-","-"
"Scout24 AG","0.61","EQUITY","G24","Mid Growth","2015-12-31","2621365","557975","Technology","96423946","32","-0.47|-1.46%","32.2-31.66","107285","41-28.39","Germany","2.54","-13.45","-","-","3442.77","EUR","-","-4.51","44.44","-","-","-"
"Experian PLC","0.61","EQUITY","EXPN","Large Growth","2011-06-30","4691896","-537747","Industrials","96290999","1507","-30|-1.95%","1528-1504.23","3520506","1708-1380","Ireland","-7.84","4.3","15.71","11.22","14060.16","GBX","3","-2.86","22.97","-","-","-"
"ConvaTec Group PLC","0.61","EQUITY","CTEC","Mid Growth","2016-10-31","23056730","-1014310","Healthcare","95800217","310.7","-2.6|-0.83%","312.5-306","2685662","349.1-213","United Kingdom","1.17","-","-","-","6063.23","GBX","4","32.83","-","-","-","-"
"Power Grid Corp Of India Ltd","0.59","EQUITY","POWERGRID","Large Core","2013-09-30","28495319","-554076","Utilities","92720121","214.65","-2|-0.92%","216.8-212.05","4646558","220-166.95","India","3.2","23.25","18.43","14.66","1119560.12","INR","-","17.52","15.07","-","-","-"
"Suzuki Motor Corp","0.59","EQUITY","7269","Large Core","2016-06-30","1934500","-152200","Consumer Cyclical","92155706","5221","91|1.77%","5229-5100","828400","5560-3049","Japan","10.28","66.9","15","30.7","2263447.75","JPY","-","25.35","14.15","-","-","-"
"Linde AG","0.58","EQUITY","LIN","Large Core","2015-09-30","480615","-165128","Basic Materials","91486570","161.7","-3.55|-2.15%","165.95-161.2","668221","179.7-126","Germany","0.27","28.12","3.76","7.9","30017.66","EUR","3","5.96","24.88","-","-","-"
"Olympus Corp","0.58","EQUITY","7733","Large Growth","2013-04-30","2488300","-123700","Healthcare","91167372","4010","-25|-0.62%","4035-4000","256800","4470-3145","Japan","-5.94","12.39","3.87","23.12","1380923.12","JPY","-","0.57","17.67","-","-","-"
"PT Sarana Menara Nusantara Tbk","0.57","EQUITY","TOWR","Large Growth","2010-12-31","311573100","-7405300","Technology","88796219","-","-","-","-","-","-","7.44","3.44","1.64","20.37","41831992","IDR","-","16.44","14.94","-","-","-"
