"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Berendsen PLC","0.11","EQUITY","BRSN","Mid Value","2009-07-31","335776","12715","Industrials","5383113","1267","-22|-1.71%","1285-1264","1357759","1311-722","United Kingdom","51.01","-2.77","9.32","22.37","2187.31","GBX","-","48.13","27.66","-","-","-"
"Bolsas y Mercados Espanoles","0.11","EQUITY","BME","Mid Value","2009-07-31","148712","5456","Financial Services","5374968","30.31","-0.63|-2.05%","30.93-30.31","123676","33.6-26","Spain","-5.46","19.57","1.12","20.5","2518.06","EUR","-","11.11","16.19","-","-","-"
"Toromont Industries Ltd","0.11","EQUITY","TIH","Mid Growth","2009-07-31","145407","15332","Industrials","5352969","46.56","0.39|0.84%","46.81-46.05","56623","50.45-37.59","Canada","-3.73","19.44","22.87","18.92","3654.05","CAD","-","10.84","22.94","-","-","-"
"Quebecor Inc Class B","0.11","EQUITY","QBR.B","Mid Core","2009-07-31","160701","5984","Communication Services","5318698","43.97","-0.31|-0.7%","44.26-43.58","77384","44.34-35.31","Canada","5.65","10.95","19.48","20.35","5350.4","CAD","3","18.09","43.18","-","-","-"
"ASM International NV","0.11","EQUITY","ASM","Small Core","2009-07-31","91361","-1097","Technology","5313000","50.62","-1.23|-2.37%","51.2-50.27","370826","57.18-32.31","United States","-7.11","35.41","22.68","13.12","2985.47","EUR","2","20.37","11.64","-","-","-"
"Wienerberger AG","0.11","EQUITY","WIE","Mid Core","2009-09-30","233290","10096","Basic Materials","5307169","19.64","-0.34|-1.68%","20.06-19.5","153479","22.75-13.51","Austria","-7.42","47.28","19.57","24.93","2296.44","EUR","-","20.67","26.18","-","-","-"
"Tullow Oil PLC","0.11","EQUITY","TLW","Mid Value","2016-03-31","2690392","102208","Energy","5288808","172.2","1.5|0.88%","173.92-166.4","9399869","352.1-142.3","United Kingdom","-17.96","3.8","-35.39","-29.18","2399.39","GBX","-","-35.34","-","-","-","-"
"IG Group Holdings PLC","0.11","EQUITY","IGG","Mid Core","2009-07-31","713608","25833","Financial Services","5282502","614.5","-14|-2.23%","632-608","966832","967.64-441.7","United Kingdom","13.06","-26.58","5.48","10.57","2255.1","GBX","-","26.27","13.3","-","-","-"
"Smart Real Estate Investment Trust","0.11","EQUITY","SRU.UN","Mid Value","2015-07-31","212413","6768","Real Estate","5261186","31.59","-0.14|-0.44%","31.84-31.55","142075","38.6-29.22","Canada","-1.07","-12.76","10.95","5.68","4912.55","CAD","-","0.9","-","-","-","-"
"Greene King PLC","0.11","EQUITY","GNK","Mid Value","2009-07-31","598499","21375","Consumer Cyclical","5252632","675.5","-4|-0.59%","681-672.5","561748","847-643.5","United Kingdom","-10.05","-12.12","-2.48","6.17","2093.83","GBX","-","-3.22","10.71","-","-","-"
"Aurubis AG","0.11","EQUITY","NDA","Mid Core","2009-12-31","66747","-18341","Basic Materials","5250752","73.82","-1.46|-1.94%","74.74-73.6","136970","75.98-45.01","Germany","15.02","62.89","26.63","13.97","3318.71","EUR","-","36.99","11.03","-","-","-"
"B2Gold Corp","0.1","EQUITY","BTO","Mid Growth","2011-12-31","1860458","74832","Basic Materials","5236483","3.36","0.04|1.2%","3.37-3.31","1145723","4.74-2.69","Canada","-2.04","-14.94","3.73","-0.29","3279.11","CAD","-","5.33","133.93","-","-","-"
"Cembra Money Bank AG","0.1","EQUITY","CMBN","Mid Core","2014-06-30","55073","2208","Financial Services","5219420","86.65","-0.05|-0.06%","86.9-85.8","105939","92.8-73.3","Switzerland","2.06","25.75","21.24","-","2442.87","CHF","-","18.13","17.33","-","-","-"
