"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Petroleo Brasileiro SA Petrobras","0.25","EQUITY","PETR3","Large Value","2003-05-31","69474","6821","Energy","276814","13.64","0.03|0.22%","13.73-13.5","4538800","19.72-12.47","Brazil","-5.01","2.25","-10.4","-7.03","175069.89","BRL","-","-19.48","-","-","-","-"
"Bank Bradesco SA ADR","0.25","EQUITY","BBD","Large Value","2013-12-31","32531","3706","Financial Services","276514","9.46","0.05|0.53%","9.46-9.33","6888827","10.37-7.15","Brazil","0.1","31.09","-0.02","3.57","57368.7","USD","2","21.52","10.69","-","-","-"
"B3 SA - Brasil Bolsa Balcao","0.24","EQUITY","BVMF3","Large Core","2008-12-31","46199","4728","Financial Services","275415","20.7","-0.02|-0.1%","20.79-20.44","5308500","21.1-14.94","Brazil","9.25","10.3","19.19","14.39","42159.32","BRL","-","25.87","27.37","-","-","-"
"China Pacific Insurance (Group) Co Ltd H","0.24","EQUITY","02601","Large Core","2010-03-31","66470","6973","Financial Services","271773","34.4","0.15|0.44%","34.4-34.15","648215","34.85-26.35","China","21.92","25.41","6.12","8.71","344074.12","HKD","3","29.59","22.27","-","-","-"
"China Overseas Land & Investment Ltd","0.24","EQUITY - REIT","00688","Large Value","2014-05-31","92727","9882","Real Estate","271374","26.5","0.1|0.38%","26.6-26.3","2445331","27.85-20.15","China","18.67","4.7","8.11","10.48","289243.72","HKD","4","30.51","7.25","-","-","-"
"Gazprom PJSC ADR","0.24","EQUITY","OGZD","Large Value","2012-06-30","67513","7489","Energy","267396","3.87","-0.06|-1.46%","3.92-3.83","12626545","7.63-3.83","Russia","-12.55","0.95","-14.72","-10.68","43455.66","USD","-","-17.74","2.77","-","-","-"
"Firstrand Ltd","0.24","EQUITY","FSR","Large Core","1998-06-30","73712","8853","Financial Services","265831","5200","10|0.19%","5203-5157","9171960","5446-4338","South Africa","4.31","11.67","10.16","17.23","291668.75","ZAC","-","0.04","12.16","-","-","-"
"Formosa Chemicals & Fibre Corp","0.23","EQUITY","1326","Large Core","2001-12-31","81769","-13326","Basic Materials","256524","91","-","91.1-90.9","622","100-80.4","Taiwan","4.09","14.32","11.19","6.81","533367.94","TWD","-","0.31","10.91","-","-","-"
"Itausa Investimentos ITAU SA","0.22","EQUITY","ITSA4","Large Value","2015-04-30","92721","9522","Financial Services","252450","9.24","-","9.26-9.17","22930000","10.52-7.86","Brazil","-6.42","20.1","10.43","11.17","67473.11","BRL","-","14.72","8.38","-","-","-"
"Geely Automobile Holdings Ltd","0.22","EQUITY","00175","Large Growth","2009-09-30","115554","12317","Consumer Cyclical","249053","18.14","0.06|0.33%","18.28-18","7919928","19.16-5.08","China","73.33","242.75","78.89","47.59","160602.14","HKD","-","145.61","27.28","-","-","-"
"Magnit PJSC GDR","0.22","EQUITY","MGNT","Large Core","2010-06-30","7289","1275","Consumer Defensive","247712","37.5","0.8|2.18%","37.94-34.29","1317888","45.22-33.17","Russia","7.94","-0.86","-13.71","7.48","15377.89","USD","-","-14.55","21.5","-","-","-"
"Ptt PLC","0.21","EQUITY","PTT","Large Value","2007-09-30","22264","2293","Energy","242294","388","-","389-387","2668300","430-311","Thailand","0","22.42","8.36","6.97","1108244.25","THB","-","6.99","9.62","-","-","-"
"China Steel Corp","0.21","EQUITY","2002","Large Core","2001-12-31","297584","26264","Basic Materials","241985","24.45","-0.15|-0.61%","24.6-24.35","4019","26.4-21.3","Taiwan","5.17","13.36","2.91","2.11","387077.59","TWD","1","3.25","19.84","-","-","-"
"Gazprom PJSC","0.21","EQUITY","GAZP","Large Value","2015-06-30","118754","10321","Energy","238724","116.9","-1.78|-1.5%","118.18-115.41","34585490","160.62-111.46","Russia","-","-","-","-","2586646.25","RUB","-","-","2.82","-","-","-"
"Uni-President Enterprises Corp","0.21","EQUITY","1216","Large Core","2001-12-31","118570","12201","Consumer Defensive","237655","57.1","-1.3|-2.23%","58.6-57.1","10071","66.3-52.2","Taiwan","4.85","-8.9","6.24","10.53","331829.69","TWD","-","9.36","22.81","-","-","-"
"Ultrapar Participacoes SA","0.21","EQUITY","UGPA3","Large Growth","2012-03-31","10038","1856","Energy","234879","73.75","-0.15|-0.2%","74.06-73.51","577500","79.62-62.9","Brazil","4.73","2.24","13.15","10.96","41034.88","BRL","-","9.01","26.05","-","-","-"
"Grupo Mexico SAB de CV","0.21","EQUITY","GMEXICO B","Large Growth","2004-09-30","83327","-129","Basic Materials","234480","58.15","0.01|0.02%","58.56-57.2","8365061","67.34-42.81","Mexico","5.56","28.56","8.49","10.27","446379.53","MXN","-","4.04","23.07","-","-","-"
"PJSC Lukoil","0.2","EQUITY","LKOH","Large Value","2017-02-28","4652","457","Energy","226954","2794","-57.5|-2.02%","2837.5-2771.5","562768","3582-2601","Russia","-","-","-","-","1991934.75","RUB","-","-","8.8","-","-","-"
"Polski Koncern Naftowy ORLEN SA","0.2","EQUITY","PKN","Large Value","2013-12-31","7460","610","Energy","225349","-","-","-","-","-","-","-5.56","73.37","43.16","26.07","45572.4","PLN","-","28.43","13.44","-","-","-"
"CP All PCL","0.2","EQUITY","CPALL","Large Growth","2009-12-31","121958","12810","Consumer Defensive","225148","61","-","61.25-60.75","5846700","65.75-51","Thailand","0","18.1","10.47","14.52","547963","THB","-","-0.8","31.77","-","-","-"
"CIMB Group Holdings Bhd","0.2","EQUITY","1023","Large Value","2009-12-31","146883","24860","Financial Services","225137","6.58","-0.06|-0.9%","6.7-6.5","2058400","6.87-4.27","Malaysia","15.68","59.91","0.85","-0.5","60105.98","MYR","-","49.89","14.83","-","-","-"
"Sun Pharmaceuticals Industries Ltd","0.2","EQUITY","SUNPHARMA","Large Growth","2003-05-31","26196","2406","Healthcare","225048","550.8","-21.3|-3.72%","569.85-549","4094196","854.95-492.65","India","-14.2","-33.15","-11","12.15","1321537.88","INR","-","-12.57","18.99","-","-","-"
"Mega Financial Holding Co Ltd","0.2","EQUITY","2886","Large Value","2004-09-30","266882","27384","Financial Services","221861","25.5","-0.1|-0.39%","25.55-25.45","2212","26.2-21.05","Taiwan","5.57","8.4","3.65","6.85","348155.5","TWD","-","11.3","15.71","-","-","-"
"PT Bank Mandiri (Persero) Tbk","0.19","EQUITY","BMRI","Large Core","2006-06-30","226029","23600","Financial Services","216653","-","-","-","-","-","-","14.32","35.06","11.26","13.72","312083328","IDR","-","17.85","19.28","-","-","-"
