"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Woodside Petroleum Ltd","0.25","EQUITY","WPL","Large Growth","2003-05-31","775068","27360","Energy","17779424","29.17","0.33|1.14%","29.32-28.97","2003081","33.97-26.1","Australia","-9.35","15.86","-4.32","4.91","24574.12","AUD","4","-3.41","20.08","-","-","-"
"Shionogi & Co Ltd","0.24","EQUITY","4507","Large Growth","1992-03-31","306751","5300","Healthcare","17103788","5896","-60|-1.01%","6003-5800","2005400","6433-4537","Japan","2.84","11.55","39.47","40.62","1898703","JPY","-","5.98","23.28","-","-","-"
"Scentre Group","0.23","EQUITY","SCG","Large Core","2010-12-31","5457125","244061","Real Estate","16966825","4.13","0.03|0.73%","4.15-4.06","14519817","5.42-3.89","Australia","-4.18","-17.82","11.23","11","21989.35","AUD","3","-8.43","7.3","-","-","-"
"Daiichi Sankyo Co Ltd","0.23","EQUITY","4568","Large Growth","2005-09-30","694991","33500","Healthcare","16403813","2408","-17|-0.7%","2455-2391","2725100","2670-2191.5","Japan","-2.63","0.69","10.88","15.69","1608328.75","JPY","-","2.15","30.53","-","-","-"
"Hong Kong and China Gas Co Ltd","0.23","EQUITY","00003","Large Core","2008-12-31","8696765","346300","Utilities","16355822","14.78","-","14.82-14.74","9140009","15.27-12.27","Hong Kong","5.82","15.03","7","7.58","206753.67","HKD","2","19.68","28.18","-","-","-"
"Hang Seng Bank","0.22","EQUITY","-","-","2015-03-31","772741","-6200","-","16165891","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Suncorp Group Ltd","0.22","EQUITY","SUN","Large Value","2011-03-31","1378503","62860","Financial Services","15701237","14.29","-0.04|-0.28%","14.47-14.28","4274117","15.24-11.27","Australia","3.55","13.96","9.11","19.89","18508.41","AUD","2","9.18","17.65","-","-","-"
"Eisai Co Ltd","0.22","EQUITY","4523","Large Core","1997-12-31","282768","11400","Healthcare","15644866","5919","4|0.07%","5939-5901","721700","7280-5581","Japan","1.14","0.41","12.71","13.81","1692197.88","JPY","-","-10.57","43.05","-","-","-"
"SECOM Co Ltd","0.22","EQUITY","9735","Large Growth","1992-03-31","205503","7600","Industrials","15635698","8277","-35|-0.42%","8317-8263","530700","8812-7293","Japan","2.36","8.54","11.06","19.55","1814179.12","JPY","-","-2.29","21.55","-","-","-"
"Sumitomo Corp","0.21","EQUITY","8053","Large Value","2002-09-30","1189938","41800","Industrials","15516999","1491.5","12|0.81%","1496-1476.5","2985000","1576-995.1","Japan","0.2","42.2","5.66","9.09","1846814.25","JPY","-","10.25","10.81","-","-","-"
"Amcor Ltd","0.21","EQUITY","AMC","Large Growth","2003-05-31","1235455","53901","Consumer Cyclical","15391057","15.34","-0.04|-0.26%","15.38-15.13","4488734","16.78-13.62","Australia","-2.36","5.74","17.49","19.91","17785.87","AUD","2","4.32","58.21","-","-","-"
"Asahi Group Holdings Ltd","0.21","EQUITY","2502","Large Growth","2011-09-30","406521","19200","Consumer Defensive","15309695","4499","-6|-0.13%","4507-4473","1153900","4585-3190","Japan","7.71","30.35","14.09","21.81","2063888.5","JPY","-","22.74","22.97","-","-","-"
"Fujitsu Ltd","0.21","EQUITY","6702","Large Value","1990-06-30","2066881","55000","Technology","15287204","823.7","17.5|2.17%","834.7-812.6","15656000","875-405.3","Japan","18.55","92.31","1.95","22.73","1653095.5","JPY","-","27.59","18.82","-","-","-"
"Hyundai Mobis Co Ltd","0.21","EQUITY","012330","Large Value","2013-03-31","69331","2334","Consumer Cyclical","15156577","246000","-9500|-3.72%","255000-245000","247468","293500-212000","South Korea","10.81","-2.16","-6.08","-2.8","24196020","KRW","-","-6.82","11.72","-","-","-"
