"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Korea Electric Power Corp","0.97","EQUITY","015760","Large Value","2017-06-30","773926","773926","Utilities","27597966","44350","-600|-1.33%","45050-44100","610591","63600-40050","South Korea","-0.88","-23.81","7.43","14.47","28856286","KRW","-","2.04","4.99","-","-","-"
"58.com Inc ADR repr Class A","0.93","EQUITY","WUBA","-","2013-12-31","601174","-288126","Technology","26517785","51.43","0.74|1.46%","51.56-50.53","824414","55.28-27.58","China","29.94","0.21","-1.64","-","7472.02","USD","-","83.68","-","-","-","-"
"Wistron Neweb Corp","0.92","EQUITY","6285","Mid Value","2016-09-30","8809000","-164000","Technology","26211872","97.1","-1.9|-1.92%","99-96.6","1076","102-78.5","Taiwan","14.32","22.89","11.5","17.02","34958.58","TWD","-","14.72","17.16","-","-","-"
"Skyworth Digital Holdings Ltd","0.89","EQUITY","00751","Mid Value","2017-03-31","40680000","12512000","Technology","25257719","4.21","-0.05|-1.17%","4.25-4.18","1892000","6.34-4.13","China","-5.75","-23.73","8.79","12.54","12959.59","HKD","-","-3.62","9.65","-","0","-"
"China Mengniu Dairy Co Ltd","0.84","EQUITY","02319","Large Growth","2013-09-30","12208000","440000","Consumer Defensive","23936769","15.34","-0.12|-0.78%","15.56-15.24","981966","16.82-12.88","China","3.33","17.36","-5.04","7.33","60680.92","HKD","2","4.16","-","-","0","-"
"Stella International Holdings Ltd","0.8","EQUITY","01836","Mid Value","2016-06-30","12705500","-1879000","Consumer Cyclical","22801209","13.5","-","13.5-13.5","1500","14.44-10.22","Hong Kong","2.81","7.09","-9.57","-1.08","10724.12","HKD","-","11.2","16.78","-","-","-"
"Wipro Ltd","0.8","EQUITY","WIPRO","Large Core","2017-03-31","5651762","2515530","Technology","22665371","289.05","-0.65|-0.22%","290.85-287.9","2433017","293.5-204.05","India","16.97","4.75","2.4","12.89","1397955.75","INR","3","22.27","16.47","-","-","-"
"Delta Electronics Inc","0.79","EQUITY","2308","Large Growth","2014-12-31","4109372","908000","Technology","22479687","160","-2|-1.23%","162-160","1473","179.5-153","Taiwan","-1.76","0.3","-4.07","14.05","420801.97","TWD","-","4.7","22.63","-","-","-"
"Dr Reddy's Laboratories Ltd","0.78","EQUITY","DRREDDY","Large Core","2015-12-31","535070","-162006","Healthcare","22311480","2464.95","-155.4|-5.93%","2506.55-2451.1","1548997","3399.9-2380.35","India","-4.39","-16.04","-3.04","9.55","408064.38","INR","3","-18.8","36.16","-","-","-"
"Samsung Electronics Co Ltd Participating Preferred","0.78","EQUITY","005935","Large Core","2009-09-30","13591","-250","Technology","22160096","1934000","14000|0.73%","1940000-1868000","14594","2056000-1171000","South Korea","9.93","59.22","22.71","22.11","367898944","KRW","-","34.96","10.95","-","-","-"
"KEPCO Plant Service & Engineering Co Ltd","0.75","EQUITY","051600","Mid Value","2016-06-30","551346","188728","Industrials","21283670","44850","-200|-0.44%","45300-44750","74653","72000-40400","South Korea","-21.52","-34.48","-13.56","1.05","2027250","KRW","-","-16.88","21.98","-","-","-"
